name,path,volume,date
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160923.jcsv,10027770,20160923
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20161025.jcsv,10436010,20161025
ag1704,/kywk/strategy/strange/future/ag/ag2016/ag1704/ag1704_20160912.jcsv,6382170,20160912
ag1702,/kywk/strategy/strange/future/ag/ag2016/ag1702/ag1702_20160926.jcsv,8125350,20160926
ag1610,/kywk/strategy/strange/future/ag/ag2016/ag1610/ag1610_20160927.jcsv,86008650,20160927
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160928.jcsv,11209050,20160928
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160929.jcsv,8021430,20160929
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160205.jcsv,7118970,20160205
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160204.jcsv,11060250,20160204
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160201.jcsv,5009340,20160201
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160203.jcsv,4726500,20160203
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160202.jcsv,4561170,20160202
ag1706,/kywk/strategy/strange/future/ag/ag2016/ag1706/ag1706_20161228.jcsv,2586300,20161228
ag1706,/kywk/strategy/strange/future/ag/ag2016/ag1706/ag1706_20161229.jcsv,8590950,20161229
ag1706,/kywk/strategy/strange/future/ag/ag2016/ag1706/ag1706_20161220.jcsv,11706540,20161220
ag1706,/kywk/strategy/strange/future/ag/ag2016/ag1706/ag1706_20161221.jcsv,12411960,20161221
ag1701,/kywk/strategy/strange/future/ag/ag2016/ag1701/ag1701_20161222.jcsv,45660,20161222
ag1702,/kywk/strategy/strange/future/ag/ag2016/ag1702/ag1702_20161223.jcsv,56471340,20161223
ag1706,/kywk/strategy/strange/future/ag/ag2016/ag1706/ag1706_20161226.jcsv,7299300,20161226
ag1706,/kywk/strategy/strange/future/ag/ag2016/ag1706/ag1706_20161227.jcsv,5615010,20161227
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160601.jcsv,6267060,20160601
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160603.jcsv,4160310,20160603
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160602.jcsv,7271370,20160602
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160818.jcsv,12256320,20160818
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160819.jcsv,7001880,20160819
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160607.jcsv,4790280,20160607
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160606.jcsv,7502070,20160606
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20161010.jcsv,7248240,20161010
ag1703,/kywk/strategy/strange/future/ag/ag2016/ag1703/ag1703_20160815.jcsv,167550,20160815
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160816.jcsv,8927640,20160816
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160817.jcsv,11045790,20160817
ag1703,/kywk/strategy/strange/future/ag/ag2016/ag1703/ag1703_20160810.jcsv,60,20160810
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160811.jcsv,10926600,20160811
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160812.jcsv,13317540,20160812
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160930.jcsv,6990660,20160930
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160113.jcsv,4956120,20160113
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160407.jcsv,4007730,20160407
ag1706,/kywk/strategy/strange/future/ag/ag2016/ag1706/ag1706_20161212.jcsv,11060640,20161212
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160114.jcsv,9645000,20160114
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160128.jcsv,5370720,20160128
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160129.jcsv,5884260,20160129
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160120.jcsv,6515820,20160120
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160121.jcsv,5990490,20160121
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160122.jcsv,6882420,20160122
ag1706,/kywk/strategy/strange/future/ag/ag2016/ag1706/ag1706_20161230.jcsv,8936880,20161230
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160125.jcsv,8788170,20160125
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160126.jcsv,7783890,20160126
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160127.jcsv,8161980,20160127
ag1706,/kywk/strategy/strange/future/ag/ag2016/ag1706/ag1706_20161215.jcsv,4047030,20161215
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160826.jcsv,5877600,20160826
ag1702,/kywk/strategy/strange/future/ag/ag2016/ag1702/ag1702_20160809.jcsv,10644660,20160809
ag1611,/kywk/strategy/strange/future/ag/ag2016/ag1611/ag1611_20160808.jcsv,16019010,20160808
ag1705,/kywk/strategy/strange/future/ag/ag2016/ag1705/ag1705_20161101.jcsv,516480,20161101
ag1703,/kywk/strategy/strange/future/ag/ag2016/ag1703/ag1703_20160805.jcsv,4469460,20160805
ag1703,/kywk/strategy/strange/future/ag/ag2016/ag1703/ag1703_20160804.jcsv,4597650,20160804
ag1608,/kywk/strategy/strange/future/ag/ag2016/ag1608/ag1608_20160803.jcsv,383400,20160803
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160802.jcsv,10243710,20160802
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160801.jcsv,17106690,20160801
